Gini_Index,Median_Household_Income,Year,State,Region
0.4533,60656,2016,North Dakota,Midwest
0.468,52334,2016,Ohio,Midwest
0.4645,49176,2016,Oklahoma,South
0.4583,57532,2016,Oregon,West
0.4689,56907,2016,Pennsylvania,Northeast
0.4781,60596,2016,Rhode Island,Northeast
0.4735,49501,2016,South Carolina,South
0.4495,54467,2016,South Dakota,Midwest
0.479,48547,2016,Tennessee,South
0.48,56565,2016,Texas,South
0.4539,57677,2016,Vermont,Northeast
0.4263,65977,2016,Utah,West
0.4705,68114,2016,Virginia,South
0.4591,67106,2016,Washington,West
0.4711,43385,2016,West Virginia,South
0.4498,56811,2016,Wisconsin,Midwest
0.436,59882,2016,Wyoming,West
0.4847,46257,2016,Alabama,South
0.4081,76440,2016,Alaska,West
0.4713,53558,2016,Arizona,West
0.4719,44334,2016,Arkansas,South
0.4899,67739,2016,California,West
0.4586,65685,2016,Colorado,West
0.4522,61757,2016,Delaware,South
0.542,75506,2016,District of Columbia,South
0.4945,73433,2016,Connecticut,Northeast
0.4852,50860,2016,Florida,South
0.4813,53559,2016,Georgia,South
0.4503,51807,2016,Idaho,West
0.442,74511,2016,Hawaii,West
0.481,60960,2016,Illinois,Midwest
0.4527,52314,2016,Indiana,Midwest
0.4451,56247,2016,Iowa,Midwest
0.455,54935,2016,Kansas,Midwest
0.4813,46659,2016,Kentucky,South
0.499,45146,2016,Louisiana,South
0.4519,53079,2016,Maine,Northeast
0.4499,78945,2016,Maryland,South
0.4786,75297,2016,Massachusetts,Northeast
0.4695,52492,2016,Michigan,Midwest
0.4496,65599,2016,Minnesota,Midwest
0.479,43529,2017,Mississippi,South
0.4618,53578,2017,Missouri,Midwest
0.4539,53386,2017,Montana,West
0.4391,59970,2017,Nebraska,Midwest
0.4606,58003,2017,Nevada,West
0.4386,73381,2017,New Hampshire,Northeast
0.4794,80088,2017,New Jersey,Northeast
0.4776,46744,2017,New Mexico,West
0.5157,64894,2017,New York,Northeast
0.4763,52752,2017,North Carolina,South
0.4546,61843,2017,North Dakota,Midwest
0.4642,54021,2017,Ohio,Midwest
0.4658,50051,2017,Oklahoma,South
0.4593,60212,2017,Oregon,West
0.4777,59195,2017,Pennsylvania,Northeast
0.4722,63870,2017,Rhode Island,Northeast
0.4795,50570,2017,South Carolina,South
0.4488,56521,2017,South Dakota,Midwest
0.4822,51340,2017,Tennessee,South
0.4781,59206,2017,Texas,South
0.4525,57513,2017,Vermont,Northeast
0.4225,68358,2017,Utah,West
0.4674,71535,2017,Virginia,South
0.4561,70979,2017,Washington,West
0.4686,43469,2017,West Virginia,South
0.4467,59305,2017,Wisconsin,Midwest
0.4326,60434,2017,Wyoming,West
0.4768,48123,2017,Alabama,South
0.4241,73181,2017,Alaska,West
0.4668,56581,2017,Arizona,West
0.4725,45869,2017,Arkansas,South
0.4866,71805,2017,California,West
0.4553,69117,2017,Colorado,West
0.4811,62852,2017,Delaware,South
0.5281,82372,2017,District of Columbia,South
0.4943,74168,2017,Connecticut,Northeast
0.4859,52594,2017,Florida,South
0.483,56183,2017,Georgia,South
0.4478,52225,2017,Idaho,West
0.4455,77765,2017,Hawaii,West
0.4818,62992,2017,Illinois,Midwest
0.4497,54181,2017,Indiana,Midwest
0.4381,58570,2017,Iowa,Midwest
0.4539,56422,2017,Kansas,Midwest
0.4784,48375,2017,Kentucky,South
0.4935,46145,2017,Louisiana,South
0.4526,56277,2017,Maine,Northeast
0.453,80776,2017,Maryland,South
0.4851,77385,2017,Massachusetts,Northeast
0.4671,54909,2017,Michigan,Midwest
0.4516,68388,2017,Minnesota,Midwest
0.4483,60773,2018,Wisconsin,Midwest
0.4555,61584,2018,Wyoming,West
0.4828,44717,2018,Mississippi,South
0.4657,54478,2018,Missouri,Midwest
0.4535,55328,2018,Montana,West
0.4488,59566,2018,Nebraska,Midwest
0.469,58646,2018,Nevada,West
0.453,74991,2018,New Hampshire,Northeast
0.4836,81740,2018,New Jersey,Northeast
0.4891,47169,2018,New Mexico,West
0.513,67844,2018,New York,Northeast
0.4782,53855,2018,North Carolina,South
0.4427,63837,2018,North Dakota,Midwest
0.4667,56111,2018,Ohio,Midwest
0.4687,51924,2018,Oklahoma,South
0.4582,63426,2018,Oregon,West
0.4747,60905,2018,Pennsylvania,Northeast
0.47,64340,2018,Rhode Island,Northeast
0.4762,52306,2018,South Carolina,South
0.4445,56274,2018,South Dakota,Midwest
0.4778,52375,2018,Tennessee,South
0.4822,60629,2018,Texas,South
0.4473,60782,2018,Vermont,Northeast
0.4269,71414,2018,Utah,West
